,year,IAM_region,powertrain,size,vintage_year,vintage_demand_vkm
0,2015,CAZ,BEV,Large,1996,3
1,2015,CAZ,BEV,Large,1997,1
2,2015,CAZ,BEV,Large,1998,1
3,2015,CAZ,BEV,Large,1999,1
4,2015,CAZ,BEV,Large,2000,1
5,2015,CAZ,BEV,Large,2001,3
6,2015,CAZ,BEV,Large,2002,3
7,2015,CAZ,BEV,Large,2003,3
8,2015,CAZ,BEV,Large,2004,3
9,2015,CAZ,BEV,Large,2005,3
10,2015,CAZ,BEV,Large,2006,6
11,2015,CAZ,BEV,Large,2007,6
12,2015,CAZ,BEV,Large,2008,6
13,2015,CAZ,BEV,Large,2009,9
14,2015,CAZ,BEV,Large,2010,9
15,2015,CAZ,BEV,Large,2011,11
16,2015,CAZ,BEV,Large,2012,15
17,2015,CAZ,BEV,Large,2013,18
18,2015,CAZ,BEV,Large,2014,22
19,2020,CAZ,BEV,Large,1996,1
24,2020,CAZ,BEV,Large,2001,1
25,2020,CAZ,BEV,Large,2002,1
26,2020,CAZ,BEV,Large,2003,1
27,2020,CAZ,BEV,Large,2004,1
28,2020,CAZ,BEV,Large,2005,1
29,2020,CAZ,BEV,Large,2006,2
30,2020,CAZ,BEV,Large,2007,2
31,2020,CAZ,BEV,Large,2008,2
32,2020,CAZ,BEV,Large,2009,3
33,2020,CAZ,BEV,Large,2010,3
34,2020,CAZ,BEV,Large,2011,10
35,2020,CAZ,BEV,Large,2012,14
36,2020,CAZ,BEV,Large,2013,18
37,2020,CAZ,BEV,Large,2014,21
38,2020,CAZ,BEV,Large,2015,25
39,2020,CAZ,BEV,Large,2016,37
40,2020,CAZ,BEV,Large,2017,56
41,2020,CAZ,BEV,Large,2018,74
42,2020,CAZ,BEV,Large,2019,93
58,2025,CAZ,BEV,Large,2011,4
59,2025,CAZ,BEV,Large,2012,7
60,2025,CAZ,BEV,Large,2013,12
61,2025,CAZ,BEV,Large,2014,16
62,2025,CAZ,BEV,Large,2015,21
63,2025,CAZ,BEV,Large,2016,34
64,2025,CAZ,BEV,Large,2017,52
65,2025,CAZ,BEV,Large,2018,72
66,2025,CAZ,BEV,Large,2019,91
67,2025,CAZ,BEV,Large,2020,111
68,2025,CAZ,BEV,Large,2021,186
69,2025,CAZ,BEV,Large,2022,203
70,2025,CAZ,BEV,Large,2023,221
71,2025,CAZ,BEV,Large,2024,239
91,2030,CAZ,BEV,Large,2015,3
92,2030,CAZ,BEV,Large,2016,13
93,2030,CAZ,BEV,Large,2017,29
94,2030,CAZ,BEV,Large,2018,48
95,2030,CAZ,BEV,Large,2019,71
96,2030,CAZ,BEV,Large,2020,94
97,2030,CAZ,BEV,Large,2021,167
98,2030,CAZ,BEV,Large,2022,191
99,2030,CAZ,BEV,Large,2023,213
100,2030,CAZ,BEV,Large,2024,235
101,2030,CAZ,BEV,Large,2025,256
102,2030,CAZ,BEV,Large,2026,290
103,2030,CAZ,BEV,Large,2027,309
104,2030,CAZ,BEV,Large,2028,324
105,2030,CAZ,BEV,Large,2029,336
130,2035,CAZ,BEV,Large,2020,14
131,2035,CAZ,BEV,Large,2021,64
132,2035,CAZ,BEV,Large,2022,105
133,2035,CAZ,BEV,Large,2023,144
134,2035,CAZ,BEV,Large,2024,181
135,2035,CAZ,BEV,Large,2025,216
136,2035,CAZ,BEV,Large,2026,261
137,2035,CAZ,BEV,Large,2027,290
138,2035,CAZ,BEV,Large,2028,312
139,2035,CAZ,BEV,Large,2029,330
140,2035,CAZ,BEV,Large,2030,345
141,2035,CAZ,BEV,Large,2031,317
142,2035,CAZ,BEV,Large,2032,331
143,2035,CAZ,BEV,Large,2033,357
144,2035,CAZ,BEV,Large,2034,388
174,2040,CAZ,BEV,Large,2025,32
175,2040,CAZ,BEV,Large,2026,100
176,2040,CAZ,BEV,Large,2027,160
177,2040,CAZ,BEV,Large,2028,212
178,2040,CAZ,BEV,Large,2029,255
179,2040,CAZ,BEV,Large,2030,292
180,2040,CAZ,BEV,Large,2031,285
181,2040,CAZ,BEV,Large,2032,310
182,2040,CAZ,BEV,Large,2033,344
183,2040,CAZ,BEV,Large,2034,381
